! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
1.58,0.00000002800567,2.800567E-8,-17.390858847272
1.6,0.00000002991368,2.991368E-8,-17.324949936099
1.62,0.00000002905661,2.905661E-8,-17.354019840805
1.64,0.00000002938996,2.938996E-8,-17.342612717524
1.66,0.00000002977398,2.977398E-8,-17.329630979219
1.68,0.0000000312643,3.12643E-8,-17.280788965431
1.7,0.00000003004383,3.004383E-8,-17.320608521506
1.72,0.00000003085517,3.085517E-8,-17.293961515547
1.74,0.00000003097484,3.097484E-8,-17.290090574901
1.76,0.00000003344898,3.344898E-8,-17.213244544111
1.78,0.00000003233372,3.233372E-8,-17.24715518842
1.8,0.00000003186417,3.186417E-8,-17.261783655907
1.82,0.00000003215099,3.215099E-8,-17.25282259358
1.84,0.00000003259125,3.259125E-8,-17.239221989509
1.86,0.00000003327684,3.327684E-8,-17.218404177425
1.88,0.00000003438273,3.438273E-8,-17.185711433512
1.9,0.00000003467905,3.467905E-8,-17.17713007872
1.92,0.00000003458341,3.458341E-8,-17.179891749639
1.94,0.00000003550606,3.550606E-8,-17.153562450808
1.96,0.00000003561884,3.561884E-8,-17.150391125589
1.98,0.00000003583839,3.583839E-8,-17.144246171724
2,0.00000003620224,3.620224E-8,-17.134144841576
