! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
1.66,0.0001721508,0.0001721508,-8.6671397210805
1.68,0.0001734951,0.0001734951,-8.6593612010511
1.7,0.0001748593,0.0001748593,-8.6515289074221
1.72,0.0001761521,0.0001761521,-8.6441627315904
1.74,0.0001775339,0.0001775339,-8.6363489813688
1.76,0.0001789356,0.0001789356,-8.6284845933949
1.78,0.000180239,0.000180239,-8.6212268100137
1.8,0.0001815469,0.0001815469,-8.6139965354356
1.82,0.0001828618,0.0001828618,-8.6067798816802
1.84,0.000184128,0.000184128,-8.5998793900352
1.86,0.0001854788,0.0001854788,-8.5925699681622
1.88,0.0001867557,0.0001867557,-8.5857092123288
1.9,0.0001880406,0.0001880406,-8.578852661003
1.92,0.0001893316,0.0001893316,-8.5720105828827
1.94,0.0001906093,0.0001906093,-8.5652847746502
1.96,0.0001919742,0.0001919742,-8.5581495699656
1.98,0.0001932296,0.0001932296,-8.5516314388114
2,0.0001943297,0.0001943297,-8.5459543568546
